inhibitor	targets	family	mechanism	clinical_tier	analogue	exposure	resistance
Flavopiridol	CDK9|CDK1|CDK2|CDK4	CDK	pan-CDK / transcriptional CDK9 inhibitor (alvocidib)	trial	—	clinically_achievable	MCL1 re-expression
Foretinib (XL880)	MET|KDR|AXL|MST1R	MET/VEGFR	multi-kinase MET/VEGFR2/AXL inhibitor	trial	Cabozantinib	borderline	AXL/GAS6 bypass
GSK-1838705A	IGF1R|INSR|ALK	IGF1R	IGF1R/insulin-receptor/ALK inhibitor	research	—	not_established	INSR compensation
GSK-1904529A	IGF1R|INSR	IGF1R	selective IGF1R/INSR inhibitor	research	—	not_established	INSR compensation
GSK690693	AKT1|AKT2|AKT3	AKT	ATP-competitive pan-AKT inhibitor	trial	MK-2206	borderline	SGK1 compensation
GW-2580	CSF1R	CSF1R	selective CSF1R (FMS) inhibitor	research	Pexidartinib	not_established	CSF1R-independent monocytic survival
Gefitinib	EGFR	EGFR	reversible EGFR inhibitor	approved_other	—	clinically_achievable	EGFR-independent survival (off-target in AML)
Gilteritinib	FLT3|AXL	FLT3	type-I FLT3 inhibitor; ITD and TKD active	approved_AML	—	clinically_achievable	FLT3 F691L|RAS/MAPK activation|monocytic differentiation
H-89	PRKACA	PKA	ATP-competitive PKA inhibitor (poorly selective)	research	—	not_established	off-target ROCK/S6K activity
INK-128	MTOR	mTOR	ATP-competitive mTORC1/2 inhibitor (sapanisertib)	trial	—	clinically_achievable	eIF4E amplification
Ibrutinib (PCI-32765)	BTK|ITK|TEC	BTK	irreversible BTK inhibitor	approved_other	—	clinically_achievable	BTK C481S|PLCG2 mutation
Idelalisib	PIK3CD	PI3K	selective PI3Kdelta inhibitor	approved_other	—	clinically_achievable	PI3K isoform switch
Imatinib	ABL1|KIT|PDGFRA|PDGFRB	ABL/KIT	ATP-competitive ABL/KIT/PDGFR inhibitor	approved_other	—	clinically_achievable	BCR-ABL1 T315I|KIT D816V
JAK Inhibitor I	JAK1|JAK2|JAK3|TYK2	JAK	pan-JAK tool inhibitor	research	Ruxolitinib	not_established	JAK-independent STAT activation
JNJ-28312141	CSF1R|FLT3	CSF1R	dual CSF1R/FLT3 inhibitor	research	—	not_established	monocytic bypass
JNJ-38877605	MET	MET	selective MET inhibitor	research	Capmatinib	not_established	MET amplification
JNJ-7706621	AURKA|AURKB|CDK1|CDK2	Aurora/CDK	dual Aurora / CDK inhibitor	research	Alisertib	not_established	TP53 loss
JQ1	BRD4|BRD2|BRD3	BET	BET bromodomain inhibitor	research	OTX-015|Pelabresib	not_established	WNT activation|BRD4 phosphorylation
KI20227	CSF1R|KIT|KDR|PDGFRB	CSF1R	CSF1R-selective multi-kinase inhibitor	research	—	not_established	monocytic bypass
KU-55933	ATM	DDR	selective ATM kinase inhibitor	research	—	not_established	ATR compensation
KW-2449	FLT3|AURKA|ABL1	FLT3/Aurora	dual FLT3 / Aurora-A inhibitor	trial	—	borderline	FLT3 TKD mutation
LY-333531	PRKCB	PKC	selective PKC-beta inhibitor (ruboxistaurin)	trial	—	borderline	PKC isoform redundancy
Lapatinib	EGFR|ERBB2	ERBB	reversible EGFR/HER2 inhibitor	approved_other	—	clinically_achievable	ERBB3 upregulation
Lenalidomide	CRBN|IKZF1|IKZF3	IMiD	cereblon molecular glue; IKZF1/3 degradation	approved_other	—	clinically_achievable	CRBN loss/mutation
Lenvatinib	KDR|FLT1|FLT4|FGFR1|PDGFRA|RET|KIT	VEGFR/FGFR	multi-kinase VEGFR/FGFR inhibitor	approved_other	—	clinically_achievable	FGF-driven bypass
Linifanib (ABT-869)	KDR|PDGFRB|FLT3|CSF1R	VEGFR/FLT3	multi-targeted VEGFR/PDGFR/FLT3 inhibitor	trial	—	borderline	RAS/MAPK activation
MGCD-265	MET|AXL|KDR|TEK	MET	MET/AXL/VEGFR inhibitor (glesatinib)	trial	—	borderline	AXL/GAS6 bypass
MK-2206	AKT1|AKT2|AKT3	AKT	allosteric pan-AKT inhibitor	trial	—	clinically_achievable	SGK1 compensation|PI3K feedback
MLN120B	IKBKB	NF-kB	selective IKKb inhibitor	research	—	not_established	non-canonical NF-kB
MLN8054	AURKA	Aurora	Aurora-A inhibitor (alisertib predecessor)	research	Alisertib	not_established	TP53 loss
Masitinib (AB-1010)	KIT|PDGFRA|PDGFRB|LYN|FYN	KIT	KIT/PDGFR/LYN inhibitor	trial	—	borderline	KIT D816V
Midostaurin	FLT3|KIT|PRKCA|PDGFRA|PDGFRB	FLT3	type-II multi-kinase FLT3/KIT/PKC inhibitor	approved_AML	—	clinically_achievable	FLT3 TKD D835|RAS/MAPK activation
Motesanib (AMG-706)	KDR|FLT1|FLT4|KIT|PDGFRB|RET	VEGFR	multi-kinase VEGFR/KIT/RET inhibitor	trial	—	borderline	VEGF-independent angiogenesis
NF-kB Activation Inhibitor	NFKB1|RELA	NF-kB	NF-kB transcriptional activation inhibitor (tool)	research	—	not_established	non-canonical NF-kB
NVP-ADW742	IGF1R	IGF1R	selective IGF1R inhibitor	research	—	not_established	INSR compensation
NVP-TAE684	ALK	ALK	selective ALK inhibitor	research	Alectinib	not_established	ALK-independent signalling
Neratinib (HKI-272)	EGFR|ERBB2|ERBB4	ERBB	irreversible pan-ERBB inhibitor	approved_other	—	clinically_achievable	ERBB3/PI3K bypass
Nilotinib	ABL1|KIT|PDGFRA|DDR1	ABL/KIT	ATP-competitive ABL/KIT inhibitor	approved_other	—	clinically_achievable	BCR-ABL1 T315I
OTX-015	BRD4|BRD2|BRD3	BET	BET bromodomain inhibitor (birabresib)	trial	—	clinically_achievable	WNT activation|BRD4 phosphorylation
PD173955	ABL1|SRC	ABL/SRC	ATP-competitive ABL/SRC inhibitor	research	Dasatinib	not_established	BCR-ABL1 T315I
PHA-665752	MET	MET	selective MET inhibitor	research	Capmatinib	not_established	MET amplification
PHT-427	AKT1|PDPK1	AKT/PDK1	PH-domain-binding AKT/PDPK1 inhibitor	research	—	not_established	PI3K-independent AKT activation
PI-103	PIK3CA|MTOR	PI3K/mTOR	dual PI3Ka / mTOR inhibitor	research	BEZ235	not_established	4EBP1-independent translation
PP242	MTOR	mTOR	ATP-competitive mTORC1/2 inhibitor	research	INK-128	not_established	eIF4E amplification
PRT062607	SYK	SYK	selective SYK inhibitor	research	Entospletinib	not_established	SYK-independent ITAM signalling
Palbociclib	CDK4|CDK6	CDK	selective CDK4/6 inhibitor	approved_other	—	clinically_achievable	RB1 loss|CCNE1 amplification
Panobinostat	HDAC1|HDAC2|HDAC3|HDAC6	HDAC	pan-HDAC inhibitor	approved_other	Vorinostat	clinically_achievable	HDAC-independent chromatin state
Pazopanib (GW786034)	KDR|FLT1|FLT4|PDGFRA|PDGFRB|KIT	VEGFR	multi-kinase VEGFR/PDGFR/KIT inhibitor	approved_other	—	clinically_achievable	VEGF-independent angiogenesis
Pelitinib (EKB-569)	EGFR	EGFR	irreversible EGFR inhibitor	trial	Afatinib	borderline	EGFR-independent survival
Ponatinib (AP24534)	ABL1|FLT3|KIT|FGFR1|PDGFRA|RET|SRC	ABL/FLT3	pan-ABL inhibitor active against T315I	approved_other	—	clinically_achievable	compound BCR-ABL1 mutations
Quizartinib (AC220)	FLT3|KIT|PDGFRA|RET	FLT3	type-II FLT3-ITD selective inhibitor	approved_AML	—	clinically_achievable	FLT3 D835/F691L TKD|RAS/MAPK activation
RAF265 (CHIR-265)	BRAF|RAF1|KDR	RAF	pan-RAF / VEGFR2 inhibitor	trial	—	borderline	RAF dimerisation (paradoxical activation)
Rapamycin	MTOR	mTOR	allosteric mTORC1 inhibitor (sirolimus)	approved_other	—	clinically_achievable	mTORC2/AKT feedback|4EBP1 persistence
Regorafenib (BAY 73-4506)	KDR|PDGFRB|KIT|RET|RAF1|BRAF	VEGFR/RAF	multi-kinase VEGFR/RAF/KIT inhibitor	approved_other	—	clinically_achievable	RAF dimerisation
Roscovitine (CYC-202)	CDK2|CDK5|CDK7|CDK9	CDK	pan-CDK inhibitor (seliciclib)	trial	—	borderline	MCL1 re-expression
Ruxolitinib (INCB018424)	JAK1|JAK2	JAK	ATP-competitive JAK1/2 inhibitor	approved_other	—	clinically_achievable	JAK2 persistence|heterodimer signalling
S31-201	STAT3	STAT	STAT3 SH2-domain inhibitor	research	—	not_established	STAT5 compensation
SB-431542	TGFBR1|ACVR1B|ACVR1C	TGFb	ALK4/5/7 (TGFb type-I receptor) inhibitor	research	—	not_established	SMAD-independent TGFb signalling
SGX-523	MET	MET	selective MET inhibitor	research	Capmatinib	not_established	MET amplification
SNS-032 (BMS-387032)	CDK2|CDK7|CDK9	CDK	selective CDK2/7/9 inhibitor	trial	—	borderline	MCL1 re-expression
SR9011	NR1D1|NR1D2	nuclear receptor	REV-ERB agonist; circadian/metabolic	research	—	not_established	REV-ERB-independent metabolism
STO609	CAMKK2	CAMKK	selective CAMKK2 inhibitor	research	—	not_established	LKB1-driven AMPK activation
SU11274	MET	MET	selective MET inhibitor	research	Capmatinib	not_established	MET amplification
Saracatinib (AZD0530)	SRC|ABL1|LYN	SRC	dual SRC/ABL inhibitor	trial	—	clinically_achievable	SRC-independent survival
Selinexor	XPO1	nuclear export	selective inhibitor of nuclear export (XPO1)	approved_other	—	clinically_achievable	XPO1 C528S|TP53 loss
Selumetinib (AZD6244)	MAP2K1|MAP2K2	MEK	allosteric MEK1/2 inhibitor	approved_other	Trametinib	clinically_achievable	MAP2K1 mutation|RTK feedback
Sorafenib	FLT3|KIT|RAF1|BRAF|KDR|PDGFRB	FLT3/RAF	type-II multi-kinase FLT3/RAF/VEGFR inhibitor	approved_other	—	clinically_achievable	FLT3 D835 TKD|RAS/MAPK activation
Sunitinib	KIT|PDGFRA|PDGFRB|KDR|FLT3|CSF1R|RET	VEGFR/KIT	multi-kinase VEGFR/KIT/FLT3 inhibitor	approved_other	—	clinically_achievable	KIT secondary mutation
TG100-115	PIK3CG|PIK3CD	PI3K	PI3Kgamma/delta-selective inhibitor	research	Idelalisib	not_established	PI3K isoform switch
Tivozanib (AV-951)	KDR|FLT1|FLT4	VEGFR	highly selective pan-VEGFR inhibitor	approved_other	—	clinically_achievable	VEGF-independent angiogenesis
Tofacitinib (CP-690550)	JAK1|JAK3	JAK	JAK1/JAK3-selective inhibitor	approved_other	—	clinically_achievable	JAK2 compensation
Tozasertib (VX-680)	AURKA|AURKB|AURKC|ABL1|FLT3	Aurora	pan-Aurora + ABL/FLT3 inhibitor	trial	—	borderline	AURKA/B mutation|TP53 loss
Trametinib (GSK1120212)	MAP2K1|MAP2K2	MEK	allosteric MEK1/2 inhibitor	approved_other	—	clinically_achievable	MAP2K1 mutation|RAS amplification|RTK feedback
VX-745	MAPK14	p38	selective p38a inhibitor (neflamapimod)	trial	—	borderline	JNK compensation
Vandetanib (ZD6474)	KDR|EGFR|RET	VEGFR/RET	VEGFR2/EGFR/RET inhibitor	approved_other	—	clinically_achievable	RET gatekeeper mutation
Vargetef	FGFR1|PDGFRA|PDGFRB|KDR|FLT1|FLT4|FLT3|SRC	VEGFR/FGFR	triple angiokinase inhibitor (nintedanib/Vargatef)	approved_other	—	clinically_achievable	FGF-driven bypass
Vatalanib (PTK787)	KDR|FLT1|FLT4|KIT|PDGFRB	VEGFR	pan-VEGFR inhibitor	trial	—	borderline	VEGF-independent angiogenesis
Vemurafenib (PLX-4032)	BRAF	RAF	BRAF-V600E-selective inhibitor	approved_other	—	clinically_achievable	RAF dimerisation (paradoxical MAPK activation in BRAF-WT)
Venetoclax	BCL2	BCL2	selective BH3 mimetic; BCL2	approved_AML	—	clinically_achievable	MCL1 upregulation|BCL2L1 (BCL-xL)|monocytic differentiation|TP53 loss|BAX loss
Volasertib (BI-6727)	PLK1	PLK	selective PLK1 inhibitor	trial	—	clinically_achievable	PLK1 mutation|TP53 loss
XAV-939	TNKS|TNKS2	WNT	tankyrase inhibitor; AXIN stabilisation	research	—	not_established	WNT-independent MYC
YM-155	BIRC5	IAP	survivin (BIRC5) transcriptional suppressant	trial	—	borderline	IAP redundancy (XIAP)
Cytarabine	POLA1|POLE	antimetabolite	deoxycytidine analogue; DNA chain termination (DCK-dependent)	approved_AML	—	clinically_achievable	DCK loss|SLC29A1 (hENT1) loss|CDA overexpression|SAMHD1 high
Nutlin 3a	MDM2	p53	MDM2-p53 interaction inhibitor	research	Idasanutlin	not_established	TP53 mutation/loss (absolute)
GDC-0941	PIK3CA|PIK3CB|PIK3CD	PI3K	pan-class-I PI3K inhibitor (pictilisib)	trial	—	borderline	AKT-independent signalling
